Items,Description,Unit,Category,Expense_Type
Butter Amul,,,Dairy,Expense
Butter - Nutralite,,,Dairy,Expense
Cheese,,,Dairy,Expense
Fresh Cream,,,Dairy,Expense
Curd,,,Dairy,Expense
Ghee,,,Dairy,Expense
GST - Dairy,,,Dairy,Expense
Milk,,,Dairy,Expense
Paneer,,,Dairy,Expense
Almond,,,Grocery,Expense
Dry Fruits,,,Grocery,Expense
Kaju Full,,,Grocery,Expense
Kaju Chura (Gravy),,,Grocery,Expense
Kaju Tukda (4 pieces),,,Grocery,Expense
Khajoor,,,Grocery,Expense
Kismish,,,Grocery,Expense
Magaj/ Tarbooj Seeds,,,Grocery,Expense
Buffet Fuel,,,Fuel,Expense
Coal,,,Fuel,Expense
Gas,,,Fuel,Expense
Small Gas,,,Fuel,Expense
Anar,,,Vegetables,Expense
Apple,,,Vegetables,Expense
Badam Flavour ,,,Grocery,Expense
Cake,,,Grocery,Expense
Chaman Bahar,,,Grocery,Expense
Cherri,,,Grocery,Expense
Cold Drink,,,Desserts,Expense
Delicious,,,Grocery,Expense
Dhokla,,,Grocery,Expense
Fanta,,,Grocery,Expense
Frooti,,,Grocery,Expense
